

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       952
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:2869           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       15160
  TCP    0.0.0.0:6646           0.0.0.0:0              LISTENING       9568
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       15884
  TCP    0.0.0.0:8000           0.0.0.0:0              LISTENING       55876
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1752
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1588
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2508
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       4084
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       5484
  TCP    0.0.0.0:49678          0.0.0.0:0              LISTENING       1700
  TCP    10.5.0.2:139           0.0.0.0:0              LISTENING       4
  TCP    10.154.42.65:139       0.0.0.0:0              LISTENING       4
  TCP    10.154.42.65:49268     142.250.129.95:443     ESTABLISHED     13208
  TCP    10.154.42.65:49269     142.250.129.95:443     ESTABLISHED     13208
  TCP    10.154.42.65:49406     142.250.117.95:443     ESTABLISHED     13208
  TCP    10.154.42.65:49407     142.250.117.95:443     ESTABLISHED     13208
  TCP    10.154.42.65:49618     172.187.86.72:443      ESTABLISHED     7608
  TCP    10.154.42.65:49770     18.154.84.45:443       ESTABLISHED     11788
  TCP    10.154.42.65:49875     44.206.207.13:443      ESTABLISHED     11788
  TCP    10.154.42.65:49888     79.127.211.89:443      TIME_WAIT       0
  TCP    10.154.42.65:49889     79.127.211.89:443      TIME_WAIT       0
  TCP    10.154.42.65:49890     195.181.170.18:443     TIME_WAIT       0
  TCP    10.154.42.65:49891     37.19.194.80:443       TIME_WAIT       0
  TCP    10.154.42.65:49893     79.127.211.89:443      TIME_WAIT       0
